teacher_id,school_id,first_name,last_name,department,email,hire_date,badge_id,watchlist_flag,notes
TCH0001,SCH0001,Elijah,Jones,Math,elijah.jones@cedargrove.edu,2011-04-05,B8040250,0,Long-term substitute listed in HR.
TCH0002,SCH0001,Wyatt,Collins,Counseling,wyatt.collins@cedargrove.edu,2004-03-23,B2713332,0,Email bounced last month.
TCH0003,SCH0001,Finley,Taylor,Specials,finley.taylor@cedargrove.edu,2016-02-18,B8310679,0,
TCH0004,SCH0001,Isaac,Torres,Science,isaac.torres@cedargrove.edu,2015-03-12,B7606524,0,Prefers hallway duty by Gym.
TCH0005,SCH0001,Lily,Rodriguez,Elementary,lily.rodriguez@cedargrove.edu,2005-06-13,B9836394,0,Prefers hallway duty by Gym.
TCH0006,SCH0001,Parker,Wright,Elementary,parker.wright@cedargrove.edu,2017-10-13,B1478116,0,Long-term substitute listed in HR.
TCH0007,SCH0001,Isaac,Stewart,Elementary,isaac.stewart@cedargrove.edu,2021-01-22,B5261449,0,Often covers lunch supervision.
TCH0008,SCH0001,Piper,White,PE,piper.white@cedargrove.edu,2007-11-10,B1319995,0,
TCH0009,SCH0001,Gabriel,Green,Science,gabriel.green@cedargrove.edu,2011-10-03,B0771452,0,Long-term substitute listed in HR.
TCH0010,SCH0001,Avery,Clark,Social Studies,avery.clark@cedargrove.edu,2016-11-21,B4200550,0,
TCH0011,SCH0001,Scarlett,Martinez,Elementary,scarlett.martinez@cedargrove.edu,2014-02-17,B2195478,0,
TCH0012,SCH0001,Andrew,Campbell,Admin,andrew.campbell@cedargrove.edu,2018-12-02,B0438214,0,Often covers lunch supervision.
TCH0013,SCH0001,Ryan,Allen,Specials,ryan.allen@cedargrove.edu,2006-08-26,B0989981,0,Prefers hallway duty by Gym.
TCH0014,SCH0001,Lincoln,Rodriguez,Elementary,lincoln.rodriguez@cedargrove.edu,2004-07-09,B2677641,0,
TCH0015,SCH0001,Jude,Rodriguez,Elementary,jude.rodriguez@cedargrove.edu,2005-01-19,B5058008,0,Prefers hallway duty by Gym.
TCH0016,SCH0001,Jude,Miller,Elementary,jude.miller@cedargrove.edu,2017-11-19,B2632164,0,
TCH0017,SCH0001,Mia,Reyes,Elementary,mia.reyes@cedargrove.edu,2022-02-03,B1302245,0,
TCH0018,SCH0001,Riley,Flores,ELA,riley.flores@cedargrove.edu,2007-03-09,B5267262,0,
TCH0019,SCH0001,Amelia,Parker,Math,amelia.parker@cedargrove.edu,2005-01-11,B2754008,0,
TCH0020,SCH0001,Julian,Martin,Elementary,julian.martin@cedargrove.edu,2005-05-12,B8822178,0,
TCH0021,SCH0001,Jayden,Perez,Science,jayden.perez@cedargrove.edu,2009-07-01,B7467217,0,
TCH0022,SCH0001,Thomas,Robinson,Elementary,thomas.robinson@cedargrove.edu,2018-06-10,B2632073,0,New to district.
TCH0023,SCH0001,Sophia,Thomas,Elementary,sophia.thomas@cedargrove.edu,2012-03-19,B1473653,0,Often covers lunch supervision.
